"subj","Session_name","seq","item","cond","sentence","question","correct","RT_question","whole_sentence_readingtime","List","actual_seq","ffdR1","ffdR2","ffdR3","ffdR4","ffdR5","ffdR6","ffdR7","ffdR8","ffdR9","ffdR10","ffdR11","ffdR12","ffdR13","ffdR14","ffdR15","ffdR16","ffdR17","ffdR18","ffdR19","ffdR20","ffdR21","ffdR22","ffdR23","ffdR24","ffdR25","gzR1","gzR2","gzR3","gzR4","gzR5","gzR6","gzR7","gzR8","gzR9","gzR10","gzR11","gzR12","gzR13","gzR14","gzR15","gzR16","gzR17","gzR18","gzR19","gzR20","gzR21","gzR22","gzR23","gzR24","gzR25","ttR1","ttR2","ttR3","ttR4","ttR5","ttR6","ttR7","ttR8","ttR9","ttR10","ttR11","ttR12","ttR13","ttR14","ttR15","ttR16","ttR17","ttR18","ttR19","ttR20","ttR21","ttR22","ttR23","ttR24","ttR25","reginR1","reginR2","reginR3","reginR4","reginR5","reginR6","reginR7","reginR8","reginR9","reginR10","reginR11","reginR12","reginR13","reginR14","reginR15","reginR16","reginR17","reginR18","reginR19","reginR20","reginR21","reginR22","reginR23","reginR24","reginR25","regoutR1","regoutR2","regoutR3","regoutR4","regoutR5","regoutR6","regoutR7","regoutR8","regoutR9","regoutR10","regoutR11","regoutR12","regoutR13","regoutR14","regoutR15","regoutR16","regoutR17","regoutR18","regoutR19","regoutR20","regoutR21","regoutR22","regoutR23","regoutR24","regoutR25"
4,"A_M001",53,1,"MVRR_UAMB","The suspect who was sent the file deserved further investigation given the new evidence.","Did the suspect send the file to someone?",1,1961.9,8715.95,"a",53,NA,220,NA,412,508,NA,194,279,217,554,NA,NA,185,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,584,0,412,508,0,194,279,217,898,0,0,185,159,0,0,0,0,0,0,0,0,0,0,0,0,859,0,620,1108,320,630,928,405,1209,0,548,185,309,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,1,0,1,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,1,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",14,2,"MVRR_UAMB","The corrupt politician who was handed the bill received unwelcome attention from southern voters.","Did the politician hand the bill to someone?",1,2178.17,10170.68,"a",14,NA,320,168,NA,225,225,NA,252,314,241,222,NA,271,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,367,0,225,225,0,523,314,546,222,0,271,221,0,0,0,0,0,0,0,0,0,0,0,0,891,531,335,1226,948,176,933,1080,1209,539,0,621,221,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,1,0,0,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",30,3,"NPS_AMB","The woman maintained the mail disappeared mysteriously from her front porch.","Could the woman find the mail?",1,3082.96,6449.9,"a",30,NA,242,359,NA,292,423,320,NA,172,NA,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,242,359,0,292,423,320,0,172,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,1060,0,1015,1367,1250,0,172,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,1,1,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",82,3,"UNAGREE","When the magician moves, the cards disappears mysteriously from his assistant's hand.","Do the cards ever disappear?",1,2581.9,11492.84,"a",82,NA,NA,270,234,NA,NA,183,360,NA,NA,243,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,270,234,0,0,183,360,0,0,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,699,1330,550,652,1523,1715,494,192,860,497,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",21,4,"MVRR_UAMB","The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.","Did the boy feed the chicken?",1,3518.89,4660.81,"a",21,NA,NA,NA,NA,128,NA,255,183,220,NA,321,530,193,200,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,128,0,255,183,380,0,321,530,193,200,0,229,0,0,0,0,0,0,0,0,0,0,252,190,0,468,0,454,183,380,0,321,530,259,200,251,447,0,0,0,0,0,0,0,0,0,NA,1,1,NA,1,NA,0,0,0,NA,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,NA,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",28,6,"NPZ_UAMB","After the professor read, the grant gained more attention due to her excellent description.","Who or what got a lot of attention?",1,3352.19,6365.45,"a",28,NA,NA,129,255,NA,NA,162,297,198,NA,NA,NA,235,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,129,255,0,0,162,297,198,0,0,0,235,210,0,0,0,0,0,0,0,0,0,0,0,0,561,436,383,0,468,162,1008,839,0,480,0,652,455,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,NA,1,0,1,0,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,0,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",8,8,"NPS_UAMB","The mechanic observed that the truck needed several more hours to be repaired.","Had the truck broken down?",1,2359.07,4096.54,"a",8,NA,189,351,NA,180,224,NA,354,296,309,174,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,430,351,0,180,224,0,354,296,309,174,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,430,351,196,180,224,0,354,296,309,174,0,725,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",90,8,"UNAGREE","When the lecturer stops, her audiences needs several minutes to reflect on the content.","Does the lecturer stop her audiences?",1,3306.04,7340,"a",90,NA,NA,181,314,280,185,194,339,NA,229,189,214,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,181,314,280,185,194,531,0,229,189,214,0,363,0,0,0,0,0,0,0,0,0,0,0,0,272,527,314,280,185,1000,770,1296,229,349,448,0,363,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,1,1,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",42,9,"NPZ_UAMB","After the guitarist began, the song failed dramatically because he skipped the sound check.","Did the guitarist complete the sound check?",1,1673.87,5513.12,"a",42,NA,NA,177,187,NA,NA,147,243,NA,599,215,NA,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,177,322,0,0,147,559,0,599,215,0,0,354,0,0,0,0,0,0,0,0,0,0,0,264,193,429,604,0,201,147,559,32,599,596,112,0,354,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,1,0,0,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,0,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",58,10,"MVRR_AMB","The player paid the bonus remained essentially the same despite his sudden fame and wealth.","Did the player pay the bonus to someone?",1,2514.38,10717.27,"a",58,NA,NA,316,NA,153,328,154,NA,310,385,NA,311,NA,159,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,316,0,153,328,154,0,310,385,0,311,0,159,257,0,0,0,0,0,0,0,0,0,0,0,660,796,385,718,1130,1864,0,310,716,185,701,295,159,257,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,NA,0,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
