"subj","Session_name","seq","item","cond","sentence","question","correct","RT_question","whole_sentence_readingtime","List","actual_seq","ffdR1","ffdR2","ffdR3","ffdR4","ffdR5","ffdR6","ffdR7","ffdR8","ffdR9","ffdR10","ffdR11","ffdR12","ffdR13","ffdR14","ffdR15","ffdR16","ffdR17","ffdR18","ffdR19","ffdR20","ffdR21","ffdR22","ffdR23","ffdR24","ffdR25","gzR1","gzR2","gzR3","gzR4","gzR5","gzR6","gzR7","gzR8","gzR9","gzR10","gzR11","gzR12","gzR13","gzR14","gzR15","gzR16","gzR17","gzR18","gzR19","gzR20","gzR21","gzR22","gzR23","gzR24","gzR25","gpR1","gpR2","gpR3","gpR4","gpR5","gpR6","gpR7","gpR8","gpR9","gpR10","gpR11","gpR12","gpR13","gpR14","gpR15","gpR16","gpR17","gpR18","gpR19","gpR20","gpR21","gpR22","gpR23","gpR24","gpR25","ttR1","ttR2","ttR3","ttR4","ttR5","ttR6","ttR7","ttR8","ttR9","ttR10","ttR11","ttR12","ttR13","ttR14","ttR15","ttR16","ttR17","ttR18","ttR19","ttR20","ttR21","ttR22","ttR23","ttR24","ttR25","reginR1","reginR2","reginR3","reginR4","reginR5","reginR6","reginR7","reginR8","reginR9","reginR10","reginR11","reginR12","reginR13","reginR14","reginR15","reginR16","reginR17","reginR18","reginR19","reginR20","reginR21","reginR22","reginR23","reginR24","reginR25","regoutR1","regoutR2","regoutR3","regoutR4","regoutR5","regoutR6","regoutR7","regoutR8","regoutR9","regoutR10","regoutR11","regoutR12","regoutR13","regoutR14","regoutR15","regoutR16","regoutR17","regoutR18","regoutR19","regoutR20","regoutR21","regoutR22","regoutR23","regoutR24","regoutR25"
4,"A_M001",56,73,"FILLER1","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","Which market is Apple rumored to enter?",1,1842.51,6462.03,"a",56,NA,NA,277,279,NA,227,NA,NA,197,NA,252,154,206,NA,293,161,266,268,NA,213,221,NA,NA,NA,NA,0,0,277,704,0,227,0,0,197,0,252,154,206,0,293,161,266,268,0,213,221,0,0,0,0,0,0,420,704,0,415,0,0,493,0,494,154,720,0,556,361,266,268,0,213,458,0,0,0,0,143,0,277,704,188,227,538,0,424,0,425,268,469,200,293,161,266,268,0,450,221,0,0,0,0,1,NA,NA,0,1,0,1,NA,1,NA,1,1,1,1,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,1,NA,1,0,1,NA,1,1,0,0,NA,0,1,NA,NA,NA,NA
4,"A_M001",15,74,"FILLER1","A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.","Who hates the bill most?",1,1544.79,5018.76,"a",15,NA,NA,NA,231,NA,180,NA,281,164,209,NA,167,NA,212,276,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,0,0,0,231,0,319,0,515,502,209,0,167,0,212,276,0,0,55,0,0,0,0,0,0,0,0,0,0,769,0,319,0,515,502,422,0,349,0,212,368,0,0,541,0,0,0,0,0,0,0,0,338,0,431,0,319,0,515,715,209,182,167,0,304,276,243,0,298,0,0,0,0,0,0,0,NA,1,NA,0,NA,0,NA,0,1,0,1,0,NA,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,0,1,NA,1,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",29,75,"FILLER1","The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.","At which point are people resistent to a wider range of temperature?",1,3106.06,6089.5,"a",29,NA,NA,362,NA,173,NA,NA,203,241,NA,241,277,321,157,NA,239,129,NA,NA,59,NA,NA,NA,NA,NA,0,0,362,0,490,0,0,203,241,0,514,277,321,157,0,239,129,0,0,59,0,0,0,0,0,0,0,424,0,490,0,0,473,241,0,514,277,321,157,0,363,932,0,0,59,0,0,0,0,0,0,62,509,0,687,270,0,366,241,155,655,277,321,157,124,239,129,0,0,59,0,0,0,0,0,NA,1,1,NA,1,1,NA,1,0,0,0,0,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,0,NA,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",71,76,"FILLER1","Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.","Did the man escape Peter's attempt to attack?",1,2050.65,9522.77,"a",71,242,NA,NA,127,NA,191,336,NA,298,NA,242,NA,174,167,102,NA,349,NA,NA,NA,NA,226,NA,NA,NA,242,0,0,127,0,191,336,0,298,0,242,0,174,340,102,0,874,0,0,0,0,466,0,0,0,242,0,0,1558,0,1874,336,0,475,0,378,0,436,340,102,0,1208,0,0,0,0,466,0,0,0,923,447,607,950,262,485,336,177,298,136,242,262,174,340,436,0,874,0,0,0,0,466,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,NA,1,0,NA,1,NA,1,NA,1,0,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA
4,"A_M001",9,77,"FILLER1","Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.","Did Larson see more than one opportunity?",1,3602.56,8697.21,"a",9,NA,183,NA,100,NA,294,263,357,181,344,NA,300,NA,NA,NA,211,NA,NA,302,210,NA,NA,NA,NA,NA,0,183,0,100,0,294,728,357,181,344,0,413,0,0,0,211,0,0,302,210,0,0,0,0,0,0,183,0,1773,0,477,728,357,181,344,0,413,0,0,0,468,0,0,302,2205,0,0,0,0,0,349,1120,735,826,449,294,728,357,181,344,0,413,0,257,0,211,0,655,302,210,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA,0,NA,1,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,0,0,0,0,NA,0,NA,NA,NA,1,NA,NA,0,1,NA,NA,NA,NA,NA
4,"A_M001",77,78,"FILLER1","Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.","Is the leader cocnered about the weather?",1,3303.92,7182.48,"a",77,NA,356,NA,NA,143,NA,235,180,385,NA,291,264,NA,NA,210,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,0,356,0,0,143,0,235,180,385,0,291,264,0,0,210,0,234,0,0,0,0,0,0,0,0,0,545,0,0,903,0,515,368,385,0,1540,507,0,0,426,0,742,0,0,0,0,0,0,0,0,189,356,0,272,631,280,614,180,1124,433,420,264,0,216,461,257,234,0,0,0,0,0,0,0,0,1,NA,NA,1,0,1,1,0,1,1,0,0,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,0,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",54,79,"FILLER1","Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week.","Was Greg Anderson asked to testify?",1,2083.02,9192.96,"a",54,NA,260,418,280,NA,210,176,NA,166,242,NA,308,268,NA,238,NA,361,NA,184,NA,NA,NA,NA,NA,NA,0,260,727,280,0,210,176,0,429,242,0,558,268,0,238,0,361,0,184,0,0,0,0,0,0,0,260,727,469,0,210,176,0,429,923,0,558,469,0,543,0,767,0,2137,0,0,0,0,0,0,0,469,1356,280,0,540,225,273,842,510,0,1041,516,136,407,406,483,0,184,0,0,0,0,0,0,NA,1,1,0,NA,1,1,0,1,0,NA,1,0,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,0,1,NA,0,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
4,"A_M001",45,80,"FILLER1","Owls are more flexible than humans because a bird's head is only connected by one socket pivot.","Are humans less flexible than owls?",1,2258.03,5793.47,"a",45,NA,491,262,235,NA,182,NA,322,233,NA,119,196,287,NA,NA,276,151,NA,NA,NA,NA,NA,NA,NA,NA,0,491,262,235,0,369,0,322,493,0,119,196,287,0,0,276,151,0,0,0,0,0,0,0,0,0,736,262,235,0,369,0,497,493,0,437,730,287,0,0,276,423,0,0,0,0,0,0,0,0,245,491,262,235,0,544,0,322,811,266,119,464,287,0,272,276,151,0,0,0,0,0,0,0,0,1,NA,0,0,NA,1,NA,0,1,1,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,0,NA,1,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",62,81,"FILLER1","Even in the same animal, not all bites are the same.","For a given animal, can you expect that some bites have different intensity?",1,3551.28,4340.56,"a",62,NA,NA,NA,144,207,NA,NA,NA,201,NA,211,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,314,207,0,0,0,201,0,211,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,496,0,0,0,653,0,1007,209,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,134,469,207,0,452,512,201,0,495,209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,0,NA,1,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",17,82,"FILLER1","Buck did not like it, but he bore up well to the work, taking pride in it.","How did Buck deal with his job?",1,2166.33,10799.25,"a",17,NA,NA,NA,NA,NA,130,NA,238,375,NA,NA,212,148,NA,315,NA,273,136,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,130,0,238,375,0,0,212,148,0,315,0,273,136,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,445,695,0,0,212,2251,0,504,0,3063,291,0,0,0,0,0,0,0,315,438,137,860,0,337,363,2025,947,224,695,972,322,189,383,155,273,136,0,0,0,0,0,0,0,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
